suite,seed,n_train,n_test,context_bins,model,brier,log_loss,accuracy,f1,auc,blocked_false_positive_rate,affordance_loss_rate,accessible_prediction_variance,ece,reliability_slope,mean_prediction,positive_rate,access_rate
support_burden,1,80,3000,12,access_only,0.03358432299168975,0.1289936249294763,0.955,0.7133757961783439,0.8657767019418191,0.0,0.0,5.238529448733282e-32,0.0053821052631578955,1.0075098952494943,0.06428456140350877,0.06966666666666667,0.08733333333333333
support_burden,1,80,3000,12,context_table,0.08951528966651799,0.44874681634104197,0.9173333333333333,0.03875968992248062,0.49670591905972544,0.016070124178232285,0.9738219895287958,0.011856296465671346,0.08882096183574878,0.05117440392066267,0.15081132705314007,0.06966666666666667,0.08733333333333333
support_burden,2,80,3000,4,conserved_quotient,0.03312574995843317,0.14108590465779874,0.9626666666666667,0.7383177570093458,0.8703170616857636,0.0,0.0,7.896312771987667e-33,0.011193729603729602,1.0015436905574282,0.06552421911421911,0.07666666666666666,0.09233333333333334
support_burden,2,80,3000,4,object_only,0.11119383973770637,0.4319702705805668,0.9233333333333333,0.0,0.5760257416418145,0.0,1.0,3.08148809469057e-33,0.17702965507246374,0.1433886207681082,0.23241672173913044,0.07666666666666666,0.09233333333333334
support_burden,2,80,3000,4,access_only,0.039965954043392496,0.15586327164015443,0.947,0.6863905325443787,0.8633652487835505,0.0,0.0,1.8488927466117464e-32,0.01076948717948719,1.0036483858779526,0.06589717948717949,0.07666666666666666,0.09233333333333334
support_burden,2,80,3000,4,context_table,0.10626732796221802,0.3925669078463189,0.894,0.13114754098360656,0.5881729712760948,0.04113110539845758,0.8787878787878788,0.005422473233914086,0.16151177101449274,0.21527724980478163,0.23817843768115943,0.07666666666666666,0.09233333333333334
support_burden,2,80,3000,8,conserved_quotient,0.03312574995843317,0.14108590465779874,0.9626666666666667,0.7383177570093458,0.8703170616857636,0.0,0.0,7.896312771987667e-33,0.011193729603729602,1.0015436905574282,0.06552421911421911,0.07666666666666666,0.09233333333333334
support_burden,2,80,3000,8,object_only,0.11119383973770637,0.4319702705805668,0.9233333333333333,0.0,0.5760257416418145,0.0,1.0,3.08148809469057e-33,0.17702965507246374,0.1433886207681082,0.23241672173913044,0.07666666666666666,0.09233333333333334
support_burden,2,80,3000,8,access_only,0.039965954043392496,0.15586327164015443,0.947,0.6863905325443787,0.8633652487835505,0.0,0.0,1.8488927466117464e-32,0.01076948717948719,1.0036483858779526,0.06589717948717949,0.07666666666666666,0.09233333333333334
support_burden,2,80,3000,8,context_table,0.1264085509795863,0.6417109058238275,0.8996666666666666,0.11209439528023599,0.5736713231831737,0.033419023136246784,0.9090909090909091,0.03181614418519536,0.1763756291925466,0.1368641783845291,0.25304229585921323,0.07666666666666666,0.09233333333333334
support_burden,2,80,3000,8,monolithic_logistic,0.24980072024469094,1.0505231201251206,0.6923333333333334,0.26804123711340205,0.7982514518913828,0.2912229159015791,0.045454545454545456,0.049230793683528624,0.28456146889355954,0.18166313746226606,0.3538502043021522,0.07666666666666666,0.09233333333333334
support_burden,2,80,3000,12,conserved_quotient,0.03312574995843317,0.14108590465779874,0.9626666666666667,0.7383177570093458,0.8703170616857636,0.0,0.0,7.896312771987667e-33,0.011193729603729602,1.0015436905574282,0.06552421911421911,0.07666666666666666,0.09233333333333334
support_burden,2,80,3000,12,object_only,0.11119383973770637,0.4319702705805668,0.9233333333333333,0.0,0.5760257416418145,0.0,1.0,3.08148809469057e-33,0.17702965507246374,0.1433886207681082,0.23241672173913044,0.07666666666666666,0.09233333333333334
support_burden,2,80,3000,12,access_only,0.039965954043392496,0.15586327164015443,0.947,0.6863905325443787,0.8633652487835505,0.0,0.0,1.8488927466117464e-32,0.01076948717948719,1.0036483858779526,0.06589717948717949,0.07666666666666666,0.09233333333333334
support_burden,2,80,3000,12,context_table,0.1239903964642092,0.6139817284761435,0.9,0.07407407407407407,0.5391633966410296,0.030113845023870732,0.9393939393939394,0.02722478858200604,0.16961157681159422,0.09455138460253824,0.24627824347826088,0.07666666666666666,0.09233333333333334
support_burden,3,80,3000,4,conserved_quotient,0.028679497455025616,0.11857206799560538,0.967,0.7567567567567568,0.8778840219922017,0.0,0.0,6.355568816477878e-33,0.00856133126133126,1.0032015607267841,0.0639029267029267,0.068,0.08833333333333333
support_burden,3,80,3000,4,object_only,0.0951495547852153,0.33481873427735553,0.932,0.0,0.5732085752756038,0.0,1.0,3.5750074592688066e-33,0.14010945842868036,0.12874427389540694,0.20810945842868037,0.068,0.08833333333333333
support_burden,3,80,3000,4,access_only,0.034526413214990136,0.13109522146181443,0.9523333333333334,0.6950959488272921,0.8711657409745014,0.0,0.0,1.8488927466117464e-32,0.007921794871794875,1.0585271702952594,0.06007820512820513,0.068,0.08833333333333333
support_burden,3,80,3000,4,context_table,0.08831194367828793,0.3968107813856969,0.9296666666666666,0.018604651162790697,0.5291330051333838,0.0029250457038391227,0.9852216748768473,0.0060236008889352904,0.11816911263787487,0.10501929992997723,0.18616911263787486,0.068,0.08833333333333333
support_burden,3,80,3000,8,conserved_quotient,0.028679497455025616,0.11857206799560538,0.967,0.7567567567567568,0.8778840219922017,0.0,0.0,6.355568816477878e-33,0.00856133126133126,1.0032015607267841,0.0639029267029267,0.068,0.08833333333333333
support_burden,3,80,3000,8,object_only,0.0951495547852153,0.33481873427735553,0.932,0.0,0.5732085752756038,0.0,1.0,3.5750074592688066e-33,0.14010945842868036,0.12874427389540694,0.20810945842868037,0.068,0.08833333333333333
support_burden,3,80,3000,8,access_only,0.034526413214990136,0.13109522146181443,0.9523333333333334,0.6950959488272921,0.8711657409745014,0.0,0.0,1.8488927466117464e-32,0.007921794871794875,1.0585271702952594,0.06007820512820513,0.068,0.08833333333333333
support_burden,3,80,3000,8,context_table,0.08841961240558818,0.3919652445385748,0.9303333333333333,0.009478672985781991,0.5267837106230189,0.0021937842778793418,0.9950738916256158,0.004932818227661417,0.12049277209690894,0.1057422059328041,0.18849277209690893,0.068,0.08833333333333333
support_burden,3,80,3000,8,monolithic_logistic,0.032777027788126155,0.1497173814195545,0.9663333333333334,0.7518427518427518,0.8938767567112682,0.0,0.0049261083743842365,0.009028836798527768,0.027938685067254856,0.82705405288433,0.09520353387189566,0.068,0.08833333333333333
support_burden,3,80,3000,12,conserved_quotient,0.028679497455025616,0.11857206799560538,0.967,0.7567567567567568,0.8778840219922017,0.0,0.0,6.355568816477878e-33,0.00856133126133126,1.0032015607267841,0.0639029267029267,0.068,0.08833333333333333
support_burden,3,80,3000,12,object_only,0.0951495547852153,0.33481873427735553,0.932,0.0,0.5732085752756038,0.0,1.0,3.5750074592688066e-33,0.14010945842868036,0.12874427389540694,0.20810945842868037,0.068,0.08833333333333333
support_burden,3,80,3000,12,access_only,0.034526413214990136,0.13109522146181443,0.9523333333333334,0.6950959488272921,0.8711657409745014,0.0,0.0,1.8488927466117464e-32,0.007921794871794875,1.0585271702952594,0.06007820512820513,0.068,0.08833333333333333
support_burden,3,80,3000,12,context_table,0.0894395452433066,0.382867933777119,0.9293333333333333,0.009345794392523364,0.5465037588712166,0.0032906764168190127,0.9950738916256158,0.004002948557867856,0.12517765516327048,0.11038217682718619,0.19317765516327048,0.068,0.08833333333333333
support_burden,4,80,3000,4,conserved_quotient,0.02752392811791383,0.11375157664441715,0.963,0.6312292358803987,0.8886832125198022,0.0,0.372972972972973,5.642974737054601e-32,0.015143333333333318,1.2569274293182455,0.04848904761904761,0.06166666666666667,0.07966666666666666
support_burden,4,80,3000,4,object_only,0.06726323201231137,0.2627932744038126,0.9383333333333334,0.0,0.6072430512217368,0.0,1.0,3.76760045370753e-33,0.08144309555179119,0.21736587924896333,0.14310976221845784,0.06166666666666667,0.07966666666666666
support_burden,4,80,3000,4,access_only,0.034382166666666665,0.128366296633601,0.9383333333333334,0.0,0.877995295473093,0.0,1.0,2.0029671421627253e-32,0.017409999999999988,1.377225711958397,0.04425666666666667,0.06166666666666667,0.07966666666666666
