suite,mode,rate,seed,model,brier,log_loss,accuracy,f1,auc,blocked_false_positive_rate,affordance_loss_rate,accessible_prediction_variance,ece,reliability_slope,mean_prediction,positive_rate,access_rate
correspondence_stress,random_site,0.1,3,interaction_logistic,0.047857149251922255,0.18072868390131627,0.928125,0.12213740458015267,0.8800789350938252,0.0,0.8853211009174312,0.015902894133317986,0.04509883421743368,1.794847959824116,0.02925645783305624,0.0734375,0.0925
correspondence_stress,random_site,0.2,3,conserved_quotient,0.032562686056853446,0.13073393977004508,0.96,0.7168141592920354,0.8825460155717413,0.0,0.08256880733944955,0.01594231714803169,0.008003728534817268,1.018267257095849,0.06636811262041738,0.0734375,0.0925
correspondence_stress,random_site,0.3,3,conserved_quotient,0.03359123783844747,0.13306851990465518,0.958125,0.7022222222222222,0.8805640271249686,0.0,0.11926605504587157,0.013261961242982788,0.009502432331269434,1.0315812562214994,0.06595901118115359,0.0734375,0.0925
correspondence_stress,random_site,0.3,3,interaction_logistic,0.046683677322224726,0.17405598013707468,0.930625,0.18382352941176472,0.8864511499407987,0.0,0.8532110091743119,0.023772367532038544,0.04092727933731472,1.5383491036993004,0.03491557327826265,0.0734375,0.0925
correspondence_stress,handle_slot_swap,0.0,3,conserved_quotient,0.030235607159469602,0.12531831168441931,0.9640625,0.7461368653421634,0.88409888414481,0.0,0.0,1.9259299443872359e-32,0.012292323886677121,1.023538343254,0.06482489736561618,0.0734375,0.0925
correspondence_stress,handle_slot_swap,0.0,3,interaction_logistic,0.0455568198656382,0.17087046668430303,0.9290625,0.16236162361623616,0.8808754619496968,0.0,0.8348623853211009,0.011442950199326906,0.04166703401609347,1.6795384263471973,0.03333738205618536,0.0734375,0.0925
correspondence_stress,handle_slot_swap,0.02,3,conserved_quotient,0.03042724427529496,0.12588843772604347,0.9640625,0.7461368653421634,0.8832722184349324,0.0,0.0,0.00032006904586737633,0.011184668404195028,1.0197781819542606,0.0648789634535312,0.0734375,0.0925
correspondence_stress,handle_slot_swap,0.05,3,conserved_quotient,0.030639357697194603,0.12652432346408996,0.9640625,0.7461368653421634,0.8830124502170715,0.0,0.0,0.0002776994221983122,0.0088936893029552,1.0213530351702136,0.06475637022064007,0.0734375,0.0925
correspondence_stress,handle_slot_swap,0.1,3,conserved_quotient,0.03088732797103904,0.12723591807591325,0.9640625,0.7461368653421634,0.8824713860284884,0.0,0.0,0.00010094288169822558,0.010594108070183026,1.0196452839577828,0.06487491299422718,0.0734375,0.0925
correspondence_stress,handle_slot_swap,0.1,3,interaction_logistic,0.044781087820920856,0.16679585278447476,0.929375,0.18705035971223022,0.8819087940870439,0.0,0.8027522935779816,0.011739462125899942,0.040362524074145194,1.5743762251270053,0.034981792245987346,0.0734375,0.0925
correspondence_stress,handle_slot_swap,0.2,3,conserved_quotient,0.030996416594895767,0.12755414770382026,0.9640625,0.7461368653421634,0.8822575436833985,0.0,0.0,0.00047518994285662057,0.00850302486780017,1.015213454539308,0.06493447513219983,0.0734375,0.0925
correspondence_stress,handle_slot_swap,0.3,3,conserved_quotient,0.031112812292166097,0.1278924690842582,0.9640625,0.7461368653421634,0.881957590326863,0.0,0.0,0.0003188804864031582,0.008683101936265984,1.0179043439577466,0.06475439806373401,0.0734375,0.0925
correspondence_stress,handle_slot_swap,0.3,3,interaction_logistic,0.04502665054208988,0.16951399304784012,0.9340625,0.29900332225913623,0.8921516988984967,0.0,0.6972477064220184,0.018161403026054356,0.04013874883687964,1.528169800421271,0.035162940765784884,0.0734375,0.0925
correspondence_stress,random_site,0.0,4,conserved_quotient,0.02503605157964832,0.1050351268963532,0.9715625,0.7807228915662651,0.9152001086105428,0.0,0.0,3.394451526982503e-32,0.006883956160298483,1.0155667835643372,0.05991062402973206,0.06625,0.0821875
correspondence_stress,random_site,0.0,4,interaction_logistic,0.025905719645878494,0.11206781756337879,0.9678125,0.726790450928382,0.9022805056704807,0.0,0.18719211822660098,0.005116538582882727,0.014590641738103885,0.9877740001642299,0.05753260056502871,0.06625,0.0821875
correspondence_stress,random_site,0.02,4,conserved_quotient,0.025317610803588343,0.10565841486690018,0.97125,0.7777777777777778,0.9151780076279963,0.0,0.0049261083743842365,0.0016624481898481881,0.007189020027404708,1.014136351709591,0.059910673357854535,0.06625,0.0821875
correspondence_stress,random_site,0.05,4,conserved_quotient,0.02569400306870441,0.1063072712296471,0.970625,0.7718446601941747,0.9152048445353742,0.0,0.019704433497536946,0.008034214511624213,0.006947926511454634,1.0383995542335729,0.059302073488545375,0.06625,0.0821875
correspondence_stress,random_site,0.1,4,conserved_quotient,0.026751413654378317,0.10895498393879671,0.9690625,0.7591240875912408,0.9144313101462453,0.0,0.034482758620689655,0.017242573109268897,0.00812896065960161,1.0243635220583927,0.05912788282674125,0.06625,0.0821875
correspondence_stress,random_site,0.1,4,interaction_logistic,0.02646806478109304,0.11261757203853433,0.968125,0.746268656716418,0.8958696420903741,0.0,0.07881773399014778,0.013753211268628551,0.013428613484389654,1.0025736693169007,0.05831033723653384,0.06625,0.0821875
correspondence_stress,random_site,0.2,4,conserved_quotient,0.026401411034949876,0.10753901271689768,0.96875,0.7596153846153846,0.913801432143669,0.0,0.029556650246305417,0.011583084604621137,0.005557383764230934,1.0477364901809603,0.06069261623576907,0.06625,0.0821875
correspondence_stress,random_site,0.3,4,conserved_quotient,0.027887110492816686,0.11077045184834235,0.965625,0.7330097087378641,0.9128289889116213,0.0,0.08374384236453201,0.017756047671390916,0.006701766344923446,1.0630120103987528,0.059548233655076555,0.06625,0.0821875
correspondence_stress,random_site,0.3,4,interaction_logistic,0.027305972443489007,0.1124396795427867,0.966875,0.7439613526570048,0.9077299765098128,0.0,0.07389162561576355,0.015956065787900126,0.009793407616169463,0.9891989632575413,0.06263829559854277,0.06625,0.0821875
correspondence_stress,handle_slot_swap,0.0,4,conserved_quotient,0.02503605157964832,0.1050351268963532,0.9715625,0.7807228915662651,0.9152001086105428,0.0,0.0,3.394451526982503e-32,0.006883956160298483,1.0155667835643372,0.05991062402973206,0.06625,0.0821875
correspondence_stress,handle_slot_swap,0.0,4,interaction_logistic,0.025905719645878494,0.11206781756337879,0.9678125,0.726790450928382,0.9022805056704807,0.0,0.18719211822660098,0.005116538582882727,0.014590641738103885,0.9877740001642299,0.05753260056502871,0.06625,0.0821875
